question_id,question_type,bucket,entailment,verdict,question,quote
sample_42_yes_q06,positive,support,0.992,ok,Were exercise recommendations also part of the plan?,The plan is advice on diet and on exercise.
sample_42_yes_q05,positive,support,0.545,ok,Does the patient have a BMI of 28?,Your body mass index is 28.
sample_42_yes_q03,positive,support,0.613,ok,Has the patient been given advice about diet?,The plan is advice on diet and
sample_42_hard_no_q02,hard_negative,refute,0.0,ok,Did the doctor consider the patient severely obese?,It puts you in the mildly overweight range.
sample_42_yes_q01,positive,support,0.018,WEAK,Is the patient feeling well?,feel perfectly well.
sample_42_yes_q04,positive,support,0.986,ok,"The visit was a preventive health check, correct?",This is your preventive health check today.
sample_42_hard_no_q01,hard_negative,refute,0.011,ok,Was the blood pressure 155/98?,Your blood pressure is 135 over 88.
sample_43_yes_q02,positive,support,0.936,ok,Does the patient have a sore throat?,My throat has been really sore.
sample_43_hard_no_q03,hard_negative,refute,0.0,ok,Is the infection thought to be bacterial?,My assessment is that this is a viral infection.
sample_43_yes_q05,positive,support,0.984,ok,Did the examination find no pus in the throat?,I also looked at your throat and there was no pus.
sample_43_yes_q04,positive,support,0.001,WEAK,Was the strep test negative?,It was negative.
sample_43_yes_q01,positive,support,0.985,ok,Is the infection considered to be viral?,My assessment is that this is a viral infection.
sample_43_hard_no_q01,hard_negative,refute,0.0,ok,Does the patient describe abdominal pain as the main problem?,My throat has been really sore.
sample_43_hard_no_q02,hard_negative,refute,0.0,ok,Were the tonsils covered in coatings?,there was no pus.
sample_43_yes_q03,positive,support,0.003,WEAK,Has the doctor decided against antibiotics?,"The plan is no antibiotics, because they do not work against a virus."
sample_43_hard_no_q04,hard_negative,refute,0.001,ok,Did the doctor see pus in the throat?,there was no pus.
sample_47_yes_q03,positive,support,0.409,ok,Has penicillin treatment been started?,"I am starting you on penicillin treatment. Penicillin. Starting from today? Yes, from today."
sample_47_hard_no_q04,hard_negative,refute,0.0,ok,Is the patient able to swallow without any discomfort?,it hurts when I swallow
sample_47_hard_no_q03,hard_negative,refute,0.001,ok,Did the doctor prescribe erythromycin?,I am starting you on penicillin treatment.
sample_47_hard_no_q05,hard_negative,refute,0.096,ok,Was the patient told to manage with symptom relief only?,I am starting you on penicillin treatment.
sample_47_yes_q01,positive,support,0.989,ok,Were coatings seen on the tonsils?,Your tonsils are red and there is coating on them.
sample_47_hard_no_q06,hard_negative,refute,0.36,SUSPICIOUS_entails,Has the throat problem been assessed as a viral infection?,My assessment is tonsillitis.
sample_47_yes_q02,positive,support,0.986,ok,Does the patient have a sore throat?,My throat. It is really sore and it hurts when I swallow.
sample_47_hard_no_q02,hard_negative,refute,0.0,ok,Were the tonsils pale and free of coatings?,Your tonsils are red and there is coating on them.
sample_48_hard_no_q02,hard_negative,refute,0.0,ok,Does the doctor attribute the fatigue to a thyroid disorder?,there is no hormonal cause for the tiredness
sample_48_yes_q03,positive,support,0.98,ok,Was the TSH normal?,"The first was your thyroid-stimulating hormone, the thyroid. I had wondered about that one. It came back normal."
sample_48_yes_q06,positive,support,0.982,ok,Did the glucose test come back normal too?,"Your glucose, which is your blood sugar. That was normal as well."
sample_48_yes_q05,positive,support,0.001,WEAK,Were both blood tests within normal limits?,That was normal as well. Both normal.
sample_48_hard_no_q01,hard_negative,refute,0.0,ok,Is the tiredness described as brief and occasional?,it has been going on and on
sample_48_yes_q04,positive,support,0.643,ok,Has the patient been left without any specific treatment?,No specific treatment is needed on the basis of these results.
sample_48_yes_q02,positive,support,0.99,ok,Is the patient's tiredness persistent?,"You came about tiredness. Yes, it has been going on and on. It simply does not lift. Persistent fatigue."
sample_48_yes_q07,positive,support,0.003,WEAK,Does the doctor rule out an endocrine cause?,My assessment is that there is no hormonal cause for the tiredness.
sample_48_yes_q01,positive,support,0.99,ok,"The thyroid test gave a normal result, right?","The first was your thyroid-stimulating hormone, the thyroid. I had wondered about that one. It came back normal."
sample_50_yes_q04,positive,support,0.708,ok,Are further tests needed before the diagnosis can be settled?,Further tests have been arranged to settle it. And those will tell us for certain? That is why they are being done. Nothing changes for you until we have them.
sample_50_hard_no_q01,hard_negative,refute,0.001,ok,Does the fasting blood sugar lie at 5.0 mmol/L?,Your fasting blood sugar was 7.0 millimoles per liter.
sample_50_yes_q01,positive,support,0.063,WEAK,"The HbA1c came out at 47 mmol/mol, right?",Your long-term sugar value was 47 millimoles per mole.
sample_50_yes_q03,positive,support,0.299,WEAK,Was the patient's BMI recorded as 29?,Your body mass index is 29.
sample_50_hard_no_q03,hard_negative,refute,0.001,ok,Has metformin treatment been started at this visit?,Nothing changes for you until we have them.
sample_50_yes_q05,positive,support,0.895,ok,Is the patient free of any symptoms at this visit?,"I feel completely normal. No symptoms,"
sample_50_yes_q02,positive,support,0.823,ok,Does the patient have a fasting blood sugar of 7.0 mmol/L?,Your fasting blood sugar was 7.0 millimoles per liter.
sample_50_hard_no_q02,hard_negative,refute,0.0,ok,Were the results enough to confirm type 2 diabetes already?,It is not confirmed. It is a suspicion.
sample_52_yes_q02,positive,support,0.012,WEAK,Did the doctor plan continued follow-up?,The plan is continued support and follow-up. Why
sample_52_hard_no_q06,hard_negative,refute,0.0,ok,Has the patient been discharged from any further follow-up?,The plan is continued support and follow-up.
sample_52_yes_q03,positive,support,0.031,WEAK,Was the patient seen as engaged during the consultation?,"From what you describe, you seem engaged and motivated."
sample_52_hard_no_q04,hard_negative,refute,0.013,ok,Is the patient's grasp of the treatment considered inadequate?,you have a good understanding of your illness and your treatment
sample_52_hard_no_q02,hard_negative,refute,0.001,ok,Was the patient found to be poorly motivated?,you seem engaged and motivated
sample_52_yes_q01,positive,support,0.929,ok,"The patient understands the treatment well, right?",My assessment is that you have a good understanding of your illness and your treatment.
sample_52_hard_no_q03,hard_negative,refute,0.0,ok,Were the classes the patient attended about hypertension?,I attended the diabetes education course.
sample_52_hard_no_q01,hard_negative,refute,0.0,ok,Did the patient skip the diabetes education?,I attended the diabetes education course.
sample_54_hard_no_q02,hard_negative,refute,0.0,ok,Is the blood pressure elevated?,Your blood pressure is normal.
sample_54_yes_q04,positive,support,0.983,ok,Was the foot examination normal?,Your feet are normal. The examination is fine.
sample_54_hard_no_q04,hard_negative,refute,0.0,ok,Was the patient given a pneumococcal vaccination?,I have had my flu vaccination.
sample_54_hard_no_q01,hard_negative,refute,0.0,ok,Has the diabetes become unstable?,your diabetes looks stable
sample_54_yes_q03,positive,support,0.998,ok,Has the patient received a flu vaccination?,"Well, I have had my flu vaccination."
sample_54_yes_q02,positive,support,0.979,ok,Did the plan include continued monitoring?,the plan is continued monitoring with
sample_54_hard_no_q03,hard_negative,refute,0.0,ok,Does the plan involve a check-up only every second year?,with your annual check as usual
sample_54_yes_q01,positive,support,0.002,WEAK,Does the doctor regard the diabetes as stable?,overall your diabetes looks stable there
sample_55_yes_q02,positive,support,0.116,WEAK,Does the plan include routine follow-up?,routine follow-up as usual routine
sample_55_yes_q03,positive,support,0.938,ok,Will the current treatment be continued?,continue your current treatment exactly as it is and
sample_55_yes_q01,positive,support,0.01,WEAK,Did the HbA1c come out at 43 mmol/mol?,your long-term sugar value is 43 millimoles per mole is
sample_55_hard_no_q05,hard_negative,refute,0.0,ok,Did the tests show albuminuria?,there is no albumin in your urine
sample_55_hard_no_q04,hard_negative,refute,0.0,ok,Is the HbA1c reported as 53 mmol/mol?,your long-term sugar value is 43 millimoles per mole
sample_55_hard_no_q02,hard_negative,refute,0.0,ok,Was the creatinine found to be raised?,your creatinine is normal
sample_55_hard_no_q03,hard_negative,refute,0.001,ok,Has the patient reported tiredness and thirst?,No. Nothing that I have noticed.
sample_56_yes_q01,positive,support,0.007,WEAK,Has the cause of the tiredness remained unexplained?,We have not identified a specific cause.
sample_56_hard_no_q02,hard_negative,refute,0.0,ok,Has iron treatment been started for the tiredness?,I am not starting anything further today.
sample_56_yes_q02,positive,support,0.968,ok,Did the COVID-19 test come back negative?,your coronavirus test was negative.
sample_56_hard_no_q04,hard_negative,refute,0.0,ok,Was the patient's thyroid function found to be reduced?,Your thyroid tests are normal.
sample_56_yes_q04,positive,support,0.988,ok,"The patient's thyroid function was checked, wasn't it?",Your thyroid tests are normal.
sample_56_hard_no_q03,hard_negative,refute,0.0,ok,Will treatment for the fatigue begin straight away?,I am not starting anything further today.
sample_56_yes_q03,positive,support,0.991,ok,Will further measures be held off for the time being?,"For the moment we observe, I am not starting anything further today."
sample_57_yes_q05,positive,support,0.988,ok,Will the patient continue on the current medication?,You continue your lifestyle exactly as you are and you continue your current medication.
sample_57_yes_q07,positive,support,0.964,ok,Is the diabetes considered stable?,My assessment is that your diabetes is stable and
sample_57_yes_q04,positive,support,0.002,WEAK,Has the patient kept up the lifestyle changes?,I have kept it up. I really have.
sample_57_yes_q03,positive,support,0.033,WEAK,Was it concluded that no changes to treatment are needed?,You continue your lifestyle exactly as you are and you continue your current medication.
sample_57_yes_q06,positive,support,0.072,WEAK,Does the patient feel stable?,how have you been feeling? Honestly? Stable.
sample_57_yes_q01,positive,support,0.019,WEAK,Should the patient carry on with the same lifestyle?,You continue your lifestyle exactly as you are and
sample_57_hard_no_q01,hard_negative,refute,0.0,ok,Was the patient advised to stop the current medication?,you continue your current medication
sample_57_hard_no_q02,hard_negative,refute,0.002,ok,Will the diabetes now be treated with insulin?,you continue your current medication
sample_57_yes_q02,positive,support,0.993,ok,"The patient stays on the medicine already in use, correct?",continue your current medication.
sample_63_hard_no_q01,hard_negative,refute,0.0,ok,Have complications of the diabetes been identified?,with no complications
sample_63_hard_no_q02,hard_negative,refute,0.0,ok,Is the treatment being changed to a new medication?,to continue your current treatment
sample_63_hard_no_q03,hard_negative,refute,0.001,ok,Did the blood tests show impaired kidney function?,Your kidney function is normal
sample_63_yes_q01,positive,support,0.997,ok,Was the diabetes control judged to be good?,My assessment is good diabetes control with no complications.
sample_63_yes_q02,positive,support,0.001,WEAK,"The lipid profile came back normal, didn't it?","Good morning,"
sample_63_yes_q03,positive,support,0.146,WEAK,Was the HbA1c measured at 41 mmol/mol?,Your hemoglobin A1c is 41 millimoles per mole.
sample_63_yes_q05,positive,support,0.987,ok,Are annual check-ups planned to continue?,So the plan is to continue your current treatment and see you again for the yearly check.
sample_63_yes_q04,positive,support,0.286,WEAK,Did the patient report no new symptoms?,"No, I am not sure there is anything. No new symptoms."
sample_64_yes_q04,positive,support,0.01,WEAK,Is dry skin the reason for this consultation?,The skin on them has become very dry and
sample_64_yes_q01,positive,support,0.241,WEAK,Was the condition assessed as xerosis?,The condition is called xerosis.
sample_64_hard_no_q01,hard_negative,refute,0.001,ok,Did the doctor prescribe an antifungal cream?,I will prescribe a moisturizing cream
sample_64_yes_q03,positive,support,0.99,ok,"A moisturizing cream was prescribed, wasn't it?",I will prescribe a moisturizing cream for you.
sample_64_hard_no_q03,hard_negative,refute,0.0,ok,Were open sores found on the feet?,There are no sores
sample_64_hard_no_q02,hard_negative,refute,0.0,ok,Does the patient complain of dryness on the hands?,"No, just the feet"
sample_64_hard_no_q05,hard_negative,refute,0.0,ok,Was the skin problem assessed as eczema?,The condition is called xerosis
sample_64_yes_q02,positive,support,0.015,WEAK,Did the examination rule out any wounds?,Good afternoon.
sample_66_hard_no_q02,hard_negative,refute,0.0,ok,Was the patient given a pneumococcal vaccination?,I am here for the influenza vaccination
sample_66_yes_q03,positive,support,0.91,ok,Was the vaccination given as part of diabetes care?,I am here for the influenza vaccination as part of my diabetes care.
sample_66_hard_no_q01,hard_negative,refute,0.001,ok,Did a local reaction develop at the injection site?,I can see no reaction at all
sample_66_yes_q04,positive,support,0.996,ok,"The diabetes status was described as stable, wasn't it?",diabetes status is stable stable
sample_66_hard_no_q03,hard_negative,refute,0.0,ok,Was the patient's diabetes found to be unstable?,your diabetes status is stable
sample_66_hard_no_q05,hard_negative,refute,0.0,ok,Has follow-up been discontinued going forward?,we continue with follow-up as planned
sample_66_hard_no_q04,hard_negative,refute,0.0,ok,Did the doctor decide to adjust the diabetes medication?,there are no changes to make today
sample_66_yes_q02,positive,support,0.002,WEAK,Is the patient free of any reaction after the injection?,"Perfectly fine, thank you. Nothing out of the ordinary."
sample_66_yes_q01,positive,support,0.044,WEAK,Will the treatment continue without changes?,so I take it there is nothing that needs adjusting nothing at all there are no changes to make today and
sample_67_yes_q02,positive,support,0.001,WEAK,"The doctor described the diabetes as stable, right?","Taken together, your diabetes is stable,"
sample_67_yes_q05,positive,support,0.971,ok,Will the treatment be continued unchanged?,We continue your treatment unchanged and
sample_67_yes_q04,positive,support,0.589,ok,Is the patient's self-care considered good?,with good self-care on your part.
sample_67_hard_no_q01,hard_negative,refute,0.0,ok,Is the diabetes described as poorly controlled?,your diabetes is stable
sample_67_yes_q01,positive,support,0.343,ok,Does the patient say they are doing well?,"Good, honestly. I feel well."
sample_67_yes_q06,positive,support,0.972,ok,Is the patient sticking to the diet and lifestyle advice?,I have kept to the diet and the lifestyle side of things.
sample_67_yes_q07,positive,support,0.952,ok,Has the weight remained stable?,Your weight is stable.
sample_67_yes_q03,positive,support,0.956,ok,Was the HbA1c 43 mmol/mol?,Your hemoglobin A1c is 43 millimoles per mole.
sample_69_yes_q02,positive,support,0.217,WEAK,Does the patient feel well?,"Well, actually, I feel fine."
sample_69_yes_q01,positive,support,0.96,ok,Was the blood pressure normal?,"Your blood pressure is normal,"
sample_69_yes_q03,positive,support,0.978,ok,Is the foot status normal?,your foot status is normal.
sample_69_yes_q04,positive,support,0.932,ok,Will the regular check-ups be continued?,The plan is to continue your checkups and
sample_69_yes_q06,positive,support,0.911,ok,"The diabetes was judged to be stable, right?",your diabetes is stable with
sample_69_yes_q05,positive,support,0.97,ok,Are there no signs of complications?,no signs of complications.
sample_69_hard_no_q01,hard_negative,refute,0.0,ok,Were wounds discovered on the feet?,There is nothing abnormal there
sample_69_hard_no_q03,hard_negative,refute,0.0,ok,Have early complications of the diabetes been detected?,with no signs of complications
sample_70_yes_q04,positive,support,0.002,WEAK,"The vaccination went as planned, didn't it?",Then I can say that there were no side effects today.
sample_70_yes_q06,positive,support,0.983,ok,Was the vaccine actually given?,"That is the vaccination given,"
sample_70_yes_q01,positive,support,0.922,ok,Were no further measures decided on?,No extra measures from my side.
sample_70_yes_q05,positive,support,0.992,ok,Is this vaccination something the patient receives annually?,"You are here for your yearly influenza vaccination, is that correct? Yes, the annual one."
sample_70_hard_no_q01,hard_negative,refute,0.0,ok,Was the vaccination postponed to a later date?,It was given as planned
sample_70_yes_q02,positive,support,0.929,ok,Can the patient leave without any additional treatment?,No extra measures from my side. So I just go home? Exactly. Nothing more follows from today's visit.
sample_70_yes_q03,positive,support,0.001,WEAK,Is the patient free of side effects after the vaccine?,Then I can say that there were no side effects today.
sample_70_hard_no_q02,hard_negative,refute,0.0,ok,Is the patient asked to come back in a week for a second dose?,nothing further is needed
sample_71_yes_q03,positive,support,0.132,WEAK,Did the creatinine come back normal?,Your creatinine is normal.
sample_71_hard_no_q03,hard_negative,refute,0.001,ok,Is the LDL cholesterol 4.2 mmol/L?,Your LDL cholesterol is 2.2 mmol per liter.
sample_71_yes_q04,positive,support,0.932,ok,Was the HbA1c 42 mmol/mol?,Your hemoglobin A1c is 42 millimoles per mole. And
sample_71_hard_no_q01,hard_negative,refute,0.093,ok,Did the creatinine turn out to be elevated?,Your creatinine is normal.
sample_71_yes_q05,positive,support,0.99,ok,Are there no signs of complications?,there are no signs of complications no
